Basic,18,55,52,22,82,79,69,62,78,67,41,53,86,70,12,60,81,63,94,73,59,36,64,19,9,34,11,33,45,74,44,76,90,61,54,58,89,91,43,31,23,28,35,14,4,98,51,48,1,21,85,65,87,71,6,13,93,30,10,42,96,32,88,3,50,75,15,38,16,99,0,39,80,56,46,17,57,68,40,8,26,84,24,7,20,72,66,77,5,27,47,29,49,95,92,25,97,37,2,83
MIO,9,83,18,49,54,59,92,70,76,67,45,0,19,65,55,29,58,60,11,64,6,23,71,28,22,79,32,81,75,57,15,34,82,87,33,78,91,63,4,27,46,39,20,31,25,38,86,84,95,7,73,97,2,3,13,52,94,12,98,37,53,14,61,50,41,48,96,68,89,5,44,88,16,35,77,26,10,51,93,17,30,56,1,62,47,85,66,74,36,90,43,21,24,42,72,40,8,80,69,99
Rank,9,18,83,49,54,29,92,70,58,76,45,0,19,55,65,59,77,60,96,95,6,23,71,22,28,79,67,81,25,57,89,34,53,87,39,78,17,82,48,38,20,46,4,31,75,27,86,84,7,13,73,1,2,3,64,33,74,50,61,98,11,12,63,94,41,37,14,68,15,44,88,5,16,66,35,10,26,51,93,91,56,30,62,97,47,85,32,52,90,36,43,21,24,42,72,40,8,69,99,80
Variance,64,9,18,5,84,30,74,26,16,12,19,82,7,83,2,63,81,41,8,1,14,68,75,27,43,15,25,29,21,76,53,23,48,73,38,22,54,50,31,71,85,44,42,72,58,94,55,49,28,96,89,57,35,3,0,69,99,90,56,36,34,78,6,93,24,79,65,17,39,11,80,37,92,87,46,70,45,66,67,47,59,95,32,62,60,4,98,61,10,51,86,88,40,33,13,20,97,77,52,91
