Basic,41,83,57,13,99,55,52,19,61,60,51,27,63,47,82,38,21,39,97,53,4,7,49,2,45,29,48,10,69,90,80,78,37,25,1,89,40,84,20,56,88,28,64,32,33,72,16,76,68,31,94,86,30,44,12,67,93,11,9,43,8,14,42,46,73,71,75,5,95,50,65,6,92,70,96,58,22,81,24,66,77,59,34,54,0,18,23,79,3,62,35,74,15,85,26,36,98,91,17,87
MIO,9,83,18,49,54,59,92,70,76,67,45,0,19,65,55,29,58,60,11,64,6,23,71,28,22,79,32,81,75,57,15,34,82,87,33,78,91,63,4,27,46,39,20,31,25,38,86,84,95,7,73,97,2,3,13,52,94,12,98,37,53,14,61,50,41,48,96,68,89,5,44,88,16,35,77,26,10,51,93,17,30,56,1,62,47,85,66,74,36,90,43,21,24,42,72,40,8,80,69,99
Rank,9,18,83,49,54,59,92,70,7,67,45,0,19,65,55,29,77,60,35,64,23,6,71,44,22,3,81,41,75,57,88,15,82,34,30,78,36,4,84,27,46,31,39,20,12,86,38,2,63,74,95,79,91,28,13,52,94,25,98,37,53,97,61,50,48,32,96,68,89,5,99,87,58,11,16,10,26,93,51,17,40,56,1,76,47,85,14,73,66,90,43,21,24,72,33,42,8,80,69,62
Variance,92,71,55,75,83,23,94,95,30,78,85,62,67,34,52,57,66,37,43,99,41,47,13,77,72,53,22,24,0,54,70,4,58,12,6,82,84,56,21,50,86,11,63,40,26,80,65,60,31,16,79,88,20,45,81,73,38,89,98,51,91,46,35,28,74,93,10,44,9,39,32,14,2,7,61,48,36,25,90,97,3,19,64,27,17,5,96,29,49,87,8,69,42,18,59,33,68,1,15,76
